name,group,year,value
France,Europe,1990,399028.27
France,Europe,1991,427667.54
France,Europe,1992,397037.09
France,Europe,1993,389105.37
France,Europe,1994,369457.58
France,Europe,1995,393289.42
France,Europe,1996,408126.1
France,Europe,1997,379486.83
France,Europe,1998,409094.19
France,Europe,1999,371309.42
France,Europe,2000,365559.56
France,Europe,2001,385808.74
France,Europe,2002,380447.58
France,Europe,2003,387147.19
France,Europe,2004,389706.76
France,Europe,2005,391826.28
France,Europe,2006,382281.08
France,Europe,2007,374283.36
Chine,Asie,1990,2460744.02
Chine,Asie,1991,2584538.27
Chine,Asie,1992,2695982.07
Chine,Asie,1993,2878694.01
Chine,Asie,1994,3058241.33
Chine,Asie,1995,3320285.15
Chine,Asie,1996,3463089.13
Chine,Asie,1997,3469510.05
Chine,Asie,1998,3324344.52
Chine,Asie,1999,3318055.61
Chine,Asie,2000,3405179.87
Chine,Asie,2001,3487566.36
Chine,Asie,2002,3694242.14
Chine,Asie,2003,4525177.01
Chine,Asie,2004,5288166.03
Chine,Asie,2005,5790016.98
Chine,Asie,2006,6414463.08
Chine,Asie,2007,6791804.71
USA,Amerique Nord,1990,4879376.21
USA,Amerique Nord,1991,4870238.04
USA,Amerique Nord,1992,4876006.23
USA,Amerique Nord,1993,5167485.06
USA,Amerique Nord,1994,5227176.49
USA,Amerique Nord,1995,5237968.47
USA,Amerique Nord,1996,5343512.06
USA,Amerique Nord,1997,5501365.41
USA,Amerique Nord,1998,5449077.66
USA,Amerique Nord,1999,5528149.18
USA,Amerique Nord,2000,5512399.42
USA,Amerique Nord,2001,5389928.95
USA,Amerique Nord,2002,5437816.3
USA,Amerique Nord,2003,5471754.39
USA,Amerique Nord,2004,5563799.75
USA,Amerique Nord,2005,5595357.96
USA,Amerique Nord,2006,5514775.63
USA,Amerique Nord,2007,5581537.03
Japon,Asie,1990,1094705.84
Japon,Asie,1991,1100598.71
Japon,Asie,1992,1123660.48
Japon,Asie,1993,1108673.45
Japon,Asie,1994,1174169.73
Japon,Asie,1995,1184088.97
Japon,Asie,1996,1205782.94
Japon,Asie,1997,1201778.58
Japon,Asie,1998,1159186.37
Japon,Asie,1999,1197880.56
Japon,Asie,2000,1219592.86
Japon,Asie,2001,1202266.29
Japon,Asie,2002,1216761.94
Japon,Asie,2003,1237242.13
Japon,Asie,2004,1259658.5
Japon,Asie,2005,1238188.22
Japon,Asie,2006,1231770.97
Japon,Asie,2007,1251187.73
Mexique,Amerique Latine,1990,325603.93
Mexique,Amerique Latine,1991,336586.6
Mexique,Amerique Latine,1992,342629.81
Mexique,Amerique Latine,1993,341441.7
Mexique,Amerique Latine,1994,362424.28
Mexique,Amerique Latine,1995,345178.38
Mexique,Amerique Latine,1996,354877.59
Mexique,Amerique Latine,1997,361595.54
Mexique,Amerique Latine,1998,372167.5
Mexique,Amerique Latine,1999,380814.28
Mexique,Amerique Latine,2000,383021.82
Mexique,Amerique Latine,2001,393604.78
Mexique,Amerique Latine,2002,390781.19
Mexique,Amerique Latine,2003,402068.22
Mexique,Amerique Latine,2004,405709.55
Mexique,Amerique Latine,2005,432665.66
Mexique,Amerique Latine,2006,441653.48
Mexique,Amerique Latine,2007,449860.23
Australie,Océanie,1990,287331.45
Australie,Océanie,1991,281530.26
Australie,Océanie,1992,294456.43
Australie,Océanie,1993,302116.8
Australie,Océanie,1994,303957.63
Australie,Océanie,1995,307433.95
Australie,Océanie,1996,329259.93
Australie,Océanie,1997,333623.66
Australie,Océanie,1998,346912.87
Australie,Océanie,1999,325523.26
Australie,Océanie,2000,329604.63
Australie,Océanie,2001,324859.53
Australie,Océanie,2002,341397.7
Australie,Océanie,2003,346476.5
Australie,Océanie,2004,349223.08
Australie,Océanie,2005,367393.06
Australie,Océanie,2006,377381.97
Australie,Océanie,2007,380814.28